학생코드,반코드,시험코드,1-1-a,1-2-a,1-2-b,1-2-c,1-2-d,2-1-a,2-2-a,2-2-b,2-2-c,2-3-a,3-1-a,3-2-a,3-2-b,3-3-a,3-3-b,3-3-c,score,std_score,percentile
2,1,1,2,2,3,4,3,4,2,2,3,0,3,3,4,0,0,0,35,111.0552985,28 
3,1,1,2,0,3,4,3,4,2,2,3,0,3,3,4,3,3,0,39,117.0803896,19 
4,1,1,2,2,3,4,3,4,2,2,3,10,3,3,4,3,3,6,57,144.1932999,2 
5,1,1,0,1,0,0,0,4,0,0,0,0,3,3,4,0,3,0,18,85.44866098,76 
6,1,1,2,2,2,0,0,4,0,0,0,0,3,3,4,0,0,0,20,88.46120657,67 
7,1,1,2,0,0,0,0,4,2,2,3,0,0,3,4,3,3,0,26,97.49884333,49 
8,1,1,2,0,0,0,0,0,2,1,3,0,3,3,4,3,3,0,24,94.48629774,54 
10,1,1,2,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,14,79.42356981,85 
13,1,1,5,2,2,0,2,4,0,0,3,10,3,3,4,3,3,6,50,133.6493904,7 
14,1,1,2,1,3,0,3,4,2,2,3,10,3,3,4,3,3,0,46,127.6242992,9 
17,1,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,7,68.87966026,95 
18,1,1,2,2,3,0,0,4,2,2,0,0,0,0,0,0,0,0,15,80.9298426,81 
19,1,1,5,2,0,0,0,2,0,1,3,10,3,3,0,3,3,0,35,111.0552985,28 
21,1,1,2,2,3,4,3,4,2,2,3,10,3,3,4,3,3,6,57,144.1932999,2 
23,1,1,2,2,3,0,3,2,0,0,0,0,3,3,4,0,0,0,22,91.47375215,58 
25,1,1,2,1,1,0,0,2,0,0,0,0,3,3,0,0,0,0,12,76.41102422,90 
26,1,1,2,1,2,0,0,4,0,2,3,0,0,3,0,3,3,0,23,92.98002495,57 
27,1,1,2,2,2,0,0,4,0,2,0,0,0,3,4,0,0,0,19,86.95493377,71 
30,1,1,2,2,2,0,0,4,0,0,0,0,3,0,0,0,0,0,13,77.91729702,87 
31,1,1,2,2,3,0,2,1,0,0,0,0,3,2,0,0,0,0,15,80.9298426,81 
32,1,1,2,2,3,4,2,4,0,0,0,0,0,3,0,3,3,0,26,97.49884333,49 
35,1,1,2,2,3,4,3,4,2,2,3,0,3,3,4,0,0,0,35,111.0552985,28 
37,1,1,2,2,0,0,3,2,2,2,3,0,0,3,0,0,0,0,19,86.95493377,71 
38,1,1,2,2,3,0,2,4,2,2,3,0,0,0,0,0,0,0,20,88.46120657,67 
39,1,1,2,2,3,4,2,4,2,2,3,10,3,3,0,3,0,0,43,123.1054808,15 
40,1,1,2,2,2,4,3,4,2,2,3,0,3,0,0,0,0,0,27,99.00511612,48 
41,1,1,2,2,3,4,3,4,2,1,3,0,3,3,4,3,3,0,40,118.5866624,19 
42,1,1,2,1,1,0,0,0,0,0,0,0,3,3,4,0,3,0,17,83.94238819,78 
44,1,1,2,2,0,4,3,4,2,2,3,0,0,0,0,0,0,0,22,91.47375215,58 
47,1,1,2,2,3,0,3,0,0,0,0,0,3,2,0,0,0,0,15,80.9298426,81 
48,1,1,5,2,3,4,3,4,2,2,3,10,0,0,0,0,0,0,38,115.5741168,20 
50,1,1,2,1,3,4,3,0,0,0,0,0,3,3,0,0,0,0,19,86.95493377,71 
51,1,1,2,2,3,4,3,4,0,0,0,0,3,3,4,0,0,0,28,100.5113889,42 
52,1,1,2,2,3,4,3,4,2,2,3,10,0,3,0,3,3,0,44,124.6117536,11 
53,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62.85456909,99 
54,1,1,2,2,3,4,0,4,2,2,3,0,0,0,0,0,0,0,22,91.47375215,58 
56,1,1,2,2,3,4,3,2,2,2,3,10,3,3,4,3,3,0,49,132.1431176,8 
57,1,1,2,1,0,0,0,4,1,1,3,0,3,3,0,3,0,0,21,89.96747936,64 
59,1,1,2,2,3,4,3,0,2,0,0,0,3,3,0,0,3,0,25,95.99257053,52 
60,1,1,2,2,3,4,3,4,2,2,3,10,3,3,4,3,3,6,57,144.1932999,2 
61,1,1,5,2,3,4,3,4,2,2,3,10,3,3,4,3,3,6,60,148.7121183,1 
62,1,1,2,2,3,0,0,1,2,2,3,0,3,3,0,0,0,0,21,89.96747936,64 
63,1,1,2,2,3,4,0,4,2,2,3,0,0,3,0,3,3,0,31,105.0302073,36 
64,1,1,2,2,3,4,3,4,2,2,3,10,0,3,0,3,3,0,44,124.6117536,11 
66,1,1,2,1,3,4,3,4,2,2,3,0,0,0,0,0,0,0,24,94.48629774,54 
67,1,1,2,1,3,4,3,4,2,2,3,0,3,3,4,0,3,0,37,114.067844,23 
68,1,1,2,2,2,2,2,4,2,2,3,10,3,3,3,6,3,4,53,138.1682087,6 
69,1,1,2,2,3,4,3,4,2,2,0,3,3,3,0,0,3,0,34,109.5490257,33 
70,1,1,2,2,3,4,3,1,2,2,3,0,3,3,4,3,3,0,38,115.5741168,20 
71,1,1,2,2,3,4,3,4,2,2,3,10,3,3,4,3,3,6,57,144.1932999,2 
72,1,1,2,2,0,0,0,4,2,2,3,0,3,3,0,3,3,0,27,99.00511612,48 
76,1,1,2,2,3,4,3,4,2,2,3,10,3,3,0,0,0,0,41,120.0929352,16 
80,1,1,2,2,3,4,2,2,0,0,0,0,3,3,4,0,3,0,28,100.5113889,42 
81,1,1,2,2,3,4,0,4,0,0,3,0,0,3,4,3,3,5,36,112.5615713,27 
83,1,1,2,2,3,0,2,0,0,0,0,0,3,0,0,0,0,0,12,76.41102422,90 
84,1,1,2,0,0,0,0,4,0,1,3,0,3,3,0,0,0,0,16,82.4361154,80 
85,1,1,2,1,1,2,3,4,0,0,0,0,3,3,4,3,3,0,29,102.0176617,39 
87,1,1,2,2,0,0,3,4,2,2,3,0,3,3,4,0,0,0,28,100.5113889,42 
86,1,1,5,2,3,4,3,4,2,2,3,10,3,3,4,3,3,6,60,148.7121183,1 
