학생코드,반코드,시험코드,1-1-a,1-2-a,1-2-b,1-2-c,2-1-a,2-1-b,2-2-a,2-2-b,3-1-a,3-1-b,3-2-a,3-2-b,4-1-a,4-1-b,4-1-c,score,std_score,percentile
4,2,6,5,4,4,12,5,5,7,8,5,5,5,10,5,5,0,85,136,1
5,2,6,5,2,0,0,5,5,0,0,5,2,5,8,0,0,0,37,82,77
6,2,6,5,4,4,6,0,0,0,0,5,5,5,10,1,0,0,45,91,61
9,2,6,5,2,2,0,5,5,7,2,5,5,5,10,3,0,0,56,104,40
11,2,6,5,4,4,6,5,0,0,0,5,1,0,0,0,0,0,30,74,89
12,2,6,5,4,4,4,5,5,7,8,5,5,0,0,4,2,0,58,106,36
14,2,6,5,4,4,9,2,0,0,0,5,5,5,10,5,5,5,64,113,24
15,2,6,5,4,4,12,2,0,0,0,5,5,5,0,5,3,5,55,102,44
16,2,6,5,4,4,12,2,0,7,8,5,5,0,0,3,0,0,55,102,44
21,2,6,5,4,4,12,0,0,0,0,0,0,0,0,5,5,10,45,91,61
20,2,6,5,4,4,9,5,5,7,8,5,5,5,10,3,0,0,75,125,9
22,2,6,5,2,2,2,5,0,7,8,5,5,5,10,5,3,0,64,113,24
24,2,6,5,2,2,0,5,0,7,8,5,5,5,10,2,0,0,56,104,40
28,2,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,97
29,2,6,5,4,4,12,0,0,0,0,5,5,5,0,5,0,0,45,91,61
30,2,6,5,4,4,12,5,5,7,8,5,0,0,0,0,0,0,55,102,44
33,2,6,5,4,4,6,5,4,7,8,5,2,5,0,2,0,0,57,105,38
34,2,6,5,4,4,12,5,5,7,8,5,5,5,10,5,0,0,80,131,6
36,2,6,5,4,4,12,5,5,0,0,5,5,5,10,5,5,10,80,131,6
43,2,6,5,4,2,4,5,0,0,0,5,2,0,0,0,0,0,27,71,92
45,2,6,5,4,4,12,0,0,0,0,5,0,5,5,2,0,0,42,88,69
46,2,6,5,4,4,6,5,5,7,8,5,5,5,10,0,0,0,69,118,20
49,2,6,5,4,4,12,5,4,7,8,5,5,5,10,5,5,15,99,152,0
55,2,6,5,2,4,4,5,0,0,0,0,0,0,0,2,0,0,22,65,96
56,2,6,5,2,4,,6,0,0,0,5,5,5,10,5,5,10,62,110,30
58,2,6,5,4,4,12,5,5,0,0,5,5,5,10,5,0,0,65,114,23
60,2,6,5,4,4,9,5,5,7,8,5,5,5,10,2,0,0,74,124,10
61,2,6,5,4,4,12,5,5,7,8,5,5,5,10,3,0,0,78,128,8
73,2,6,5,4,3,3,0,0,0,0,5,5,5,5,1,0,0,36,81,79
74,2,6,5,4,4,12,2,0,0,0,5,5,5,0,5,2,5,54,101,49
75,2,6,5,4,4,12,5,5,0,0,5,5,5,10,3,0,0,63,111,27
76,2,6,5,4,4,12,5,5,3,4,5,5,5,10,3,0,0,70,119,16
77,2,6,0,4,4,6,5,5,3,0,5,2,5,0,0,0,2,41,87,71
78,2,6,5,4,4,6,5,5,7,8,5,5,5,10,2,0,0,71,121,14
79,2,6,5,4,4,9,5,5,0,2,0,0,0,0,5,0,0,39,84,75
82,2,6,0,4,4,2,5,5,4,8,5,5,5,10,3,0,0,60,108,33
84,2,6,5,4,4,10,0,0,0,0,5,5,5,10,2,0,0,50,97,55
