학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-2-b,1-2-c,2-1-a,2-2-a,2-2-b,2-2-c,3-1-a,3-1-b,3-1-c,score,std_score,percentile
1,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
4,2,8,5,5,5,0,0,10,3,2,3,0,0,0,33,135,8
9,2,8,5,5,0,0,0,10,0,0,0,10,0,0,30,131,9
11,2,8,0,0,0,0,0,10,0,0,0,10,0,0,20,115,25
14,2,8,0,0,0,0,0,10,5,4,0,0,0,0,19,113,39
15,2,8,5,5,5,5,10,10,0,0,0,0,0,0,40,146,2
21,2,8,0,0,5,0,0,10,0,0,0,0,0,0,15,107,40
20,2,8,5,5,5,0,0,10,0,0,0,10,0,0,35,138,4
22,2,8,5,5,5,0,0,10,0,0,0,0,0,0,25,123,14
24,2,8,5,5,5,0,0,10,0,0,0,10,0,0,35,138,4
25,2,8,0,0,0,0,0,10,0,0,0,10,0,0,20,115,25
28,2,8,0,0,5,0,0,0,0,0,0,0,0,0,5,91,54
29,2,8,5,5,0,0,0,0,0,0,0,10,0,0,20,115,25
30,2,8,0,0,0,0,0,0,0,0,0,10,0,0,10,99,43
33,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
34,2,8,5,5,0,0,0,10,5,0,0,0,0,0,25,123,14
36,2,8,5,5,0,0,0,10,5,0,0,0,0,0,25,123,14
43,2,8,0,0,5,0,0,10,0,0,0,0,0,0,15,107,40
45,2,8,5,5,0,0,0,10,0,0,0,10,0,0,30,131,9
46,2,8,5,5,5,5,10,10,0,0,0,10,0,0,50,162,1
49,2,8,5,5,5,0,0,10,0,0,0,0,0,0,25,123,14
55,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
56,2,8,5,5,5,0,0,10,0,0,0,10,0,0,35,138,4
58,2,8,5,5,5,0,0,10,0,0,0,10,0,0,35,138,4
60,2,8,5,5,2,0,5,10,5,4,0,0,0,0,36,140,3
61,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
