학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-2-b,1-3-a,1-3-b,2-1-a,2-2-a,2-2-b,2-2-c,3-1-a,3-2-a,3-2-b,4-1-a,4-2-a,4-2-b,4-2-c,score,std_score,percentile
6,2,9,2,3,5,5,0,0,5,0,0,0,10,7,8,5,4,0,0,54,104,41
274,2,9,2,3,5,5,1,0,5,5,5,0,10,7,8,5,0,0,0,61,112,23
9,2,9,2,3,5,5,1,9,5,5,5,10,10,7,8,5,4,0,0,84,140,4
314,2,9,2,3,5,5,0,0,0,5,0,0,10,7,8,5,0,0,0,50,99,53
315,2,9,2,3,5,5,0,0,5,5,5,0,10,7,8,0,0,0,0,55,105,38
16,2,9,2,3,0,0,0,0,5,0,0,0,10,7,8,5,4,0,0,44,91,70
21,2,9,2,3,0,0,0,0,5,5,5,0,10,7,8,5,4,10,6,70,123,8
20,2,9,2,3,0,0,1,0,5,5,0,0,10,7,8,5,4,0,0,50,99,53
25,2,9,2,3,5,5,0,0,0,0,0,0,10,0,0,5,0,0,0,30,74,88
29,2,9,2,3,5,5,1,0,5,0,0,0,10,7,8,5,0,0,0,51,100,50
34,2,9,2,3,5,5,0,0,5,0,0,0,10,7,8,0,0,0,0,45,93,67
317,2,9,2,3,5,5,1,0,0,0,0,0,0,7,8,0,0,0,0,31,75,86
45,2,9,2,3,5,5,0,0,5,5,5,0,0,7,0,0,0,0,0,37,83,76
313,2,9,2,3,5,5,0,0,0,0,0,0,10,0,0,5,0,0,0,30,74,88
312,2,9,2,3,5,5,0,0,5,0,0,0,0,0,0,5,0,0,0,25,68,95
56,2,9,2,3,5,5,1,9,5,5,5,0,10,7,8,5,0,0,0,70,123,8
310,2,9,2,3,5,0,1,0,5,0,0,0,0,7,8,5,0,0,0,36,81,77
74,2,9,2,3,5,5,1,9,5,2,0,0,10,7,8,5,4,10,10,86,143,1
75,2,9,2,3,5,5,0,0,5,5,5,0,0,7,8,5,0,0,0,50,99,53
76,2,9,2,3,5,5,1,9,5,4,4,0,10,7,8,5,0,0,0,68,121,13
77,2,9,2,3,5,5,1,0,0,5,5,0,8,7,8,0,0,0,0,49,97,61
78,2,9,2,3,5,5,0,0,0,0,0,0,10,7,0,0,0,0,0,32,77,82
77,2,9,2,3,5,5,0,0,0,0,0,0,10,7,0,0,0,0,0,32,77,82
309,2,9,2,3,5,5,1,0,5,3,3,0,0,0,0,0,0,0,0,27,70,92
84,2,9,2,3,5,0,0,0,5,0,0,0,7,8,0,5,0,0,0,35,80,79
88,2,9,2,3,5,5,1,9,5,2,2,0,10,7,8,5,0,0,0,64,116,14
93,2,9,2,3,5,5,1,0,5,2,0,0,10,7,8,5,4,2,0,59,110,34
94,2,9,2,3,0,0,0,0,5,3,3,0,10,7,8,5,0,0,0,46,94,64
102,2,9,2,3,5,5,0,0,5,5,5,0,10,7,8,5,4,0,0,64,116,14
107,2,9,2,3,5,5,1,9,5,2,2,0,10,7,8,5,0,0,0,64,116,14
308,2,9,2,3,5,5,0,0,5,2,2,0,0,7,0,5,4,0,0,40,86,73
114,2,9,2,3,5,5,1,9,5,5,5,8,10,7,8,5,0,0,0,78,133,7
115,2,9,2,3,5,5,1,9,0,0,0,0,10,7,8,5,0,0,0,55,105,38
121,2,9,2,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,14,55,100
306,2,9,2,3,5,5,1,9,5,0,0,0,10,7,8,5,0,0,0,60,111,26
122,2,9,2,3,5,5,0,0,5,0,0,0,10,7,8,5,4,0,0,54,104,41
307,2,9,2,3,0,0,1,0,0,5,0,0,10,0,0,0,0,0,0,21,63,98
130,2,9,2,3,5,5,1,0,5,0,0,0,10,7,8,5,0,0,0,51,100,50
133,2,9,2,3,5,5,1,9,5,5,5,0,10,7,8,5,0,0,0,70,123,8
145,2,9,2,3,5,5,0,0,5,0,0,0,10,7,8,5,4,0,0,54,104,41
305,2,9,2,3,5,5,1,0,0,0,0,0,10,7,8,5,0,0,0,46,94,64
149,2,9,2,3,0,0,0,0,0,0,0,0,0,7,8,5,0,0,0,25,68,95
151,2,9,2,3,5,5,0,0,0,2,0,0,10,0,0,5,0,0,0,32,77,82
161,2,9,2,3,5,5,0,0,0,2,0,0,0,0,0,5,4,0,0,26,69,94
169,2,9,2,3,5,5,1,0,5,5,0,0,10,7,8,5,4,0,0,60,111,26
283,2,9,2,3,5,5,0,0,0,0,0,0,10,7,8,0,0,0,0,40,86,73
175,2,9,2,3,5,5,0,0,4,5,5,0,10,7,8,5,0,0,0,59,110,34
259,2,9,2,3,5,5,1,0,5,2,0,0,10,7,8,5,0,10,0,63,115,19
304,2,9,2,3,5,5,1,9,0,2,0,0,10,7,8,5,4,0,0,61,112,23
205,2,9,2,3,5,5,1,0,4,2,0,0,10,7,8,5,0,0,0,52,101,47
206,2,9,2,3,5,5,1,9,5,3,0,0,10,7,8,5,4,10,6,83,139,5
301,2,9,2,3,0,0,1,9,5,5,5,0,10,7,8,5,0,0,0,60,111,26
213,2,9,2,3,5,5,0,0,5,5,0,0,10,7,8,5,4,0,0,59,110,34
215,2,9,2,3,5,5,1,0,2,5,0,0,10,0,0,0,0,0,0,33,78,80
302,2,9,2,3,5,5,0,0,1,0,0,0,0,7,0,5,0,0,0,28,72,91
228,2,9,2,3,5,5,0,0,2,5,0,0,10,7,8,5,0,0,0,52,101,47
230,2,9,2,3,5,5,0,0,5,0,0,0,10,7,8,5,4,0,0,54,104,41
316,2,9,2,3,5,5,0,0,5,3,0,0,10,7,8,0,0,0,0,48,96,62
235,2,9,2,3,5,5,1,9,5,3,0,0,10,7,8,5,0,0,0,63,115,19
239,2,9,2,2,5,5,1,9,2,3,0,0,0,7,8,0,0,0,0,44,91,70
299,2,9,2,3,5,5,0,0,0,0,0,0,10,7,8,5,0,0,0,45,93,67
240,2,9,2,3,5,5,1,9,0,5,3,0,10,7,0,0,0,0,0,50,99,53
244,2,9,2,3,5,5,0,0,5,0,0,0,10,7,8,5,0,0,0,50,99,53
245,2,9,2,3,5,5,1,9,0,5,5,0,10,7,8,5,4,10,6,85,142,2
249,2,9,2,3,5,5,1,9,5,0,0,0,10,7,8,5,0,0,0,60,111,26
257,2,9,2,3,5,5,1,9,5,0,0,0,10,7,8,5,0,0,0,60,111,26
300,2,9,2,3,5,5,0,0,5,3,0,0,0,7,8,5,4,10,6,63,115,19
