학생코드,반코드,시험코드,1-1-a,1-2-a,1-2-b,2-1-a,2-1-b,2-1-c,2-1-d,3-1-a,3-2-a,3-2-b,3-2-c,4-1-a,4-1-b,4-1-c,4-2-a,4-2-b,4-2-c,score,std_score,percentile
331,2,10,5,10,10,0,0,0,0,10,5,5,0,0,0,0,0,0,0,45,78,85
9,2,10,5,10,10,0,5,10,5,10,5,0,0,0,0,0,0,0,0,60,90,69
14,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
21,2,10,5,0,0,0,0,0,0,10,5,5,5,2,3,5,5,5,5,55,86,74
20,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
22,2,10,0,0,0,5,5,10,5,10,5,5,5,2,3,5,5,5,5,75,103,47
24,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
25,2,10,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,15,53,96
29,2,10,5,10,10,0,0,0,0,10,5,5,5,0,0,0,0,0,0,50,82,80
34,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
317,2,10,5,0,0,0,0,10,5,10,5,5,5,2,3,5,5,5,5,70,99,57
48,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
312,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
56,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
310,2,10,5,0,0,0,0,0,0,10,5,5,5,0,0,0,0,0,0,30,65,92
74,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
75,2,10,5,10,10,0,5,10,5,10,5,5,2,2,3,0,0,0,0,72,100,53
76,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
77,2,10,5,0,0,5,0,10,5,10,5,5,5,2,3,0,0,0,0,55,86,74
78,2,10,5,10,0,5,5,10,5,10,5,5,5,2,0,0,0,0,0,67,96,61
309,2,10,5,10,10,5,5,10,5,10,5,5,5,0,0,0,0,0,0,75,103,47
84,2,10,5,10,10,0,0,0,0,10,0,0,0,0,0,5,0,0,0,40,74,90
86,2,10,5,10,10,0,0,0,5,10,5,5,5,0,3,5,5,5,5,78,105,46
88,2,10,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,53,96
93,2,10,5,10,10,0,2,10,5,10,5,5,5,5,5,2,0,0,0,79,106,44
94,2,10,5,10,10,0,0,0,0,10,5,5,5,0,0,0,0,0,0,50,82,80
102,2,10,5,2,0,0,0,0,0,10,5,5,5,2,3,5,5,5,5,57,88,73
107,2,10,5,10,10,0,5,10,5,2,5,5,5,2,3,5,4,4,5,85,111,39
108,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
308,2,10,5,0,0,0,0,0,0,10,5,5,5,0,0,0,0,0,0,30,65,92
114,2,10,5,10,10,0,0,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
115,2,10,5,10,10,0,5,10,5,10,5,5,5,1,1,5,5,5,5,92,117,19
121,2,10,5,0,0,5,5,10,5,10,0,0,0,0,3,0,0,0,0,43,76,88
306,2,10,0,10,10,5,5,10,5,10,5,5,5,2,0,0,0,0,0,72,100,53
122,2,10,5,10,10,0,0,0,0,10,5,5,5,0,0,0,0,0,0,50,82,80
307,2,10,5,0,0,5,5,10,5,10,5,5,5,0,0,0,0,0,0,55,86,74
125,2,10,0,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,95,119,14
133,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
149,2,10,0,10,10,5,5,10,5,10,5,5,5,0,0,0,0,0,0,70,99,57
151,2,10,5,10,10,5,0,0,0,10,5,0,0,0,0,0,0,0,0,45,78,85
161,2,10,0,0,0,0,0,0,0,0,5,5,0,2,3,0,5,5,0,25,61,95
167,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
169,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
283,2,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,48,100
175,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,0,95,119,14
259,2,10,5,0,0,5,5,10,5,10,5,5,0,2,3,5,0,0,0,60,90,69
304,2,10,5,10,0,5,5,10,5,10,5,5,5,2,3,0,5,5,5,85,111,39
205,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
206,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
301,2,10,5,10,0,5,5,10,5,10,5,5,5,0,0,0,0,0,0,65,94,63
213,2,10,5,0,0,0,5,10,5,10,5,5,5,2,3,5,5,5,5,75,103,47
334,2,10,0,0,0,5,5,10,5,10,0,0,5,2,0,5,5,5,5,62,92,66
230,2,10,5,0,0,5,5,10,5,10,5,5,5,2,0,0,0,5,0,62,92,66
316,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
235,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
239,2,10,5,0,0,5,5,10,5,10,0,0,0,2,3,5,5,5,5,65,94,63
299,2,10,5,10,10,5,5,10,5,10,5,0,0,0,0,5,0,0,0,70,99,57
240,2,10,5,0,0,5,5,10,5,10,5,5,5,2,3,5,5,5,5,80,107,42
244,2,10,5,10,10,0,0,0,0,10,5,5,5,2,3,5,5,5,5,75,103,47
245,2,10,5,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,100,124,1
249,2,10,5,10,10,0,0,0,0,10,5,5,5,2,0,0,0,0,0,52,84,79
257,2,10,5,10,0,5,5,10,5,10,5,5,5,2,3,5,5,5,5,90,115,20
300,2,10,0,10,10,5,5,10,5,10,5,5,5,2,3,5,5,5,5,95,119,14
