학생코드,반코드,시험코드,1-1-a,1-2-a,1-3-a,1-3-b,2-1-a,2-2-a,2-2-b,2-3-a,2-3-b,3-1-a,3-1-b,3-2-a,3-2-b,3-3-a,3-3-b,3-3-c,score,std_score,percentile
2,2,2,4,4,0,0,4,2,0,5,0,2,3,2,5,5,5,0,41,117,19
3,2,2,4,4,3,4,4,2,5,5,0,0,0,0,0,0,0,0,31,101,42
5,2,2,4,4,0,0,4,2,5,0,0,0,0,0,0,0,0,0,19,83,77
6,2,2,4,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,13,73,90
7,2,2,4,4,3,4,4,2,5,5,0,2,3,2,5,0,0,0,43,120,16
8,2,2,4,4,0,0,4,2,5,5,0,2,2,2,0,0,0,0,30,100,48
10,2,2,4,4,3,4,0,2,5,0,0,0,0,2,5,5,0,0,34,106,34
13,2,2,4,4,3,4,4,2,5,5,3,2,3,2,5,5,3,4,58,144,2
17,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,99
18,2,2,4,3,0,0,4,1,0,0,0,2,0,0,0,0,0,0,14,75,88
19,2,2,4,4,3,4,4,2,5,0,0,2,3,2,5,5,3,4,50,131,5
20,2,2,4,4,3,4,4,2,5,0,0,2,3,2,5,5,3,4,50,131,5
23,2,2,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,9,67,95
26,2,2,0,4,0,0,4,2,5,0,0,0,0,0,0,0,0,0,15,76,84
27,2,2,0,4,3,4,4,0,0,0,0,2,0,0,0,0,0,0,17,79,80
28,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65,96
30,2,2,4,4,0,0,4,1,0,5,0,2,3,0,0,0,0,0,23,89,66
32,2,2,4,4,3,4,4,2,5,0,0,0,0,0,0,5,0,0,31,101,42
35,2,2,4,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,13,73,90
37,2,2,0,4,0,0,4,2,5,5,0,2,0,0,0,0,0,0,22,87,68
38,2,2,4,4,0,0,4,2,5,0,0,2,3,0,0,0,0,0,24,90,64
40,2,2,4,4,0,0,4,2,5,5,0,2,3,0,0,0,0,0,29,98,51
41,2,2,4,4,3,4,4,2,5,0,0,2,3,0,0,5,0,0,36,109,30
44,2,2,4,4,3,4,4,2,5,5,3,0,0,0,0,5,3,4,46,125,10
47,2,2,0,4,0,0,4,2,5,0,0,0,0,0,0,0,0,0,15,76,84
48,2,2,4,4,3,4,4,2,5,0,0,2,2,0,0,5,3,4,42,119,18
50,2,2,4,4,3,0,4,1,0,5,0,0,0,0,0,0,0,0,21,86,72
51,2,2,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,78,82
52,2,2,4,4,0,0,4,1,0,5,3,0,0,0,0,5,3,4,33,105,37
53,2,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,65,96
54,2,2,4,4,3,2,4,2,3,5,3,0,0,0,0,0,0,0,30,100,48
56,2,2,4,4,3,4,4,2,5,5,5,2,3,0,0,5,0,0,46,125,10
57,2,2,4,2,0,0,4,0,0,0,0,2,3,0,0,5,0,0,20,84,75
59,2,2,4,4,3,4,4,2,3,0,0,2,2,0,0,5,3,4,40,116,22
60,2,2,4,4,3,4,4,2,3,5,3,2,3,0,0,5,3,4,49,130,8
61,2,2,4,4,3,0,4,2,3,5,5,2,3,0,0,0,0,0,35,108,32
63,2,2,4,4,0,0,4,0,0,0,0,2,3,0,0,5,0,0,22,87,68
64,2,2,4,4,3,4,4,2,5,5,0,2,3,0,0,5,0,0,41,117,19
66,2,2,4,0,0,0,4,1,0,0,0,2,3,2,5,5,0,0,26,94,58
67,2,2,4,4,3,4,4,2,5,5,0,2,0,0,0,0,0,0,33,105,37
68,2,2,4,4,3,4,4,2,5,5,0,2,3,2,0,5,3,4,50,131,5
70,2,2,4,4,3,4,4,2,5,5,0,2,0,2,0,5,0,0,40,116,22
71,2,2,4,4,3,4,4,1,0,5,3,0,0,2,5,5,0,0,40,116,22
72,2,2,4,4,3,0,4,2,5,5,0,2,0,0,0,0,0,0,29,98,51
76,2,2,4,4,3,4,4,2,5,5,0,0,0,2,0,5,0,0,38,112,26
80,2,2,4,4,3,0,2,1,0,5,0,0,0,0,0,0,0,0,19,83,77
81,2,2,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,15,76,84
83,2,2,4,4,0,0,4,2,0,5,0,2,3,0,0,0,0,0,24,90,64
84,2,2,4,4,3,4,4,2,0,5,0,2,3,0,0,0,0,0,31,101,42
85,2,2,4,4,3,0,4,2,5,5,0,2,0,0,0,0,0,0,29,98,51
86,2,2,4,4,3,4,4,2,5,5,5,2,3,2,5,5,3,4,60,147,0
87,2,2,4,4,3,4,4,2,0,5,0,0,0,0,0,0,0,0,26,94,58
90,2,2,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,72,92
91,2,2,4,4,3,0,4,2,0,5,0,0,0,0,0,0,0,0,22,87,68
93,2,2,4,4,3,0,4,0,0,5,0,2,3,0,0,5,0,0,30,100,48
94,2,2,4,4,3,4,4,2,5,5,0,2,3,0,0,5,0,0,41,117,19
96,2,2,4,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,14,75,88
97,2,2,4,4,3,0,4,2,0,2,0,2,0,2,0,0,0,0,23,89,66
98,2,2,4,4,0,0,0,2,5,0,0,2,3,0,0,5,0,0,25,92,62
101,2,2,4,4,3,4,4,2,5,5,0,2,3,2,0,0,0,0,38,112,26
254,2,2,4,4,3,4,4,1,0,3,0,2,3,1,0,0,0,0,29,98,51
102,2,2,4,4,3,4,2,2,0,0,0,2,0,0,0,5,3,4,33,105,37
103,2,2,4,4,3,2,4,2,5,0,0,0,0,0,0,5,0,4,33,105,37
