학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-2-b,1-3-a,1-3-b,1-3-c,2-1-a,2-2-a,2-3-a,2-3-b,3-1-a,3-2-a,3-3-a,score,std_score,percentile
2,1,3,3,3,3,3,2,2,3,6,4,0,0,4,3,0,36,108,33
3,1,3,3,3,1,2,2,2,3,6,4,0,2,4,0,0,32,103,44
7,1,3,3,3,3,3,0,0,0,6,0,4,1,4,3,0,30,101,47
8,1,3,3,3,0,0,0,0,0,6,4,0,1,4,8,0,29,99,50
10,1,3,3,3,3,3,2,2,3,6,4,0,0,0,0,0,29,99,50
13,1,3,3,3,3,3,2,2,3,6,4,0,1,4,8,12,54,132,5
17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,97
18,1,3,3,3,3,3,0,0,0,6,4,0,0,4,8,0,34,106,37
19,1,3,3,3,3,3,2,0,0,6,4,0,0,4,2,9,39,112,26
20,1,3,3,3,3,3,2,2,3,6,4,0,0,4,8,12,53,131,6
23,1,3,3,3,3,3,2,1,3,6,4,0,0,4,8,0,40,114,24
26,1,3,3,3,0,0,0,0,0,6,0,0,0,4,8,0,24,93,64
27,1,3,3,3,3,3,2,1,0,6,4,2,0,4,2,0,33,105,40
28,1,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,69,90
30,1,3,3,3,0,0,0,0,0,0,4,0,0,4,0,0,14,79,79
31,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,69,90
32,1,3,3,3,3,3,0,0,0,6,4,4,0,4,7,0,37,110,31
35,1,3,3,3,3,3,2,0,3,6,4,4,3,4,0,0,38,111,28
37,1,3,3,3,3,3,2,1,0,6,1,0,0,4,0,0,26,95,58
38,1,3,2,3,3,3,0,0,0,6,4,0,0,4,8,0,33,105,40
40,1,3,3,3,0,0,0,0,0,6,4,0,0,4,6,0,26,95,58
41,1,3,3,3,3,3,2,0,0,6,3,0,0,0,2,0,25,94,62
44,1,3,3,3,0,0,0,0,0,6,4,0,0,4,8,0,28,98,52
47,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,65,95
48,1,3,3,3,3,3,2,2,3,6,0,4,0,4,8,12,53,131,6
50,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,9,73,88
51,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,12,77,83
52,1,3,3,3,3,3,2,0,0,6,4,0,0,4,0,0,28,98,52
53,1,3,3,3,0,0,0,0,0,6,4,0,0,4,5,0,25,94,62
