학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-3-a,2-1-a,2-2-a,2-2-b,2-3-a,2-3-b,3-1-a,3-1-b,3-2-a,3-2-b,3-2-c,3-3-a,3-3-b,3-3-c,score,std_score,percentile
2,1,4,1,5,2,0,6,0,0,0,0,2,5,0,0,3,0,0,0,24,100,50
273,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,97
8,1,4,0,0,0,0,6,3,4,0,0,2,5,2,2,3,0,0,0,27,104,41
274,1,4,0,0,0,0,6,3,0,0,0,2,5,2,2,3,0,0,0,23,98,54
13,1,4,1,4,5,5,6,3,4,0,2,2,5,2,2,3,3,3,4,52,146,0
14,1,4,1,5,5,0,6,0,0,0,0,2,5,2,2,3,3,3,0,37,121,14
17,1,4,0,0,0,0,6,0,0,0,0,0,0,2,2,3,0,0,0,13,81,79
19,1,4,1,5,5,0,6,0,0,0,0,0,0,2,2,3,3,3,4,34,116,23
20,1,4,1,5,5,5,6,0,0,0,0,2,5,2,2,3,3,3,0,42,129,5
276,1,4,1,5,0,0,6,0,0,0,0,0,0,2,2,3,0,0,0,19,91,63
275,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,70,92
277,1,4,0,0,0,0,6,0,0,0,0,2,0,2,2,3,0,0,0,15,85,71
28,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,63,96
269,1,4,0,0,0,0,6,3,4,0,2,0,0,2,2,3,3,3,0,26,103,44
270,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,68,95
35,1,4,1,5,0,0,6,0,0,0,0,2,5,0,2,3,0,0,0,24,100,50
38,1,4,0,0,0,0,6,3,4,0,0,2,5,2,2,0,0,0,0,24,100,50
271,1,4,1,5,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,16,86,68
272,1,4,0,0,0,0,6,0,0,0,0,0,0,2,2,3,0,0,0,13,81,79
264,1,4,1,0,5,5,6,3,4,0,0,2,5,0,0,0,0,0,0,31,111,30
298,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,98
265,1,4,1,5,0,0,6,0,0,0,0,2,5,2,2,3,0,0,0,26,103,44
56,1,4,1,5,2,0,6,0,0,0,0,2,5,2,2,3,3,0,0,31,111,30
59,1,4,1,5,5,0,6,0,0,0,0,2,5,2,2,3,0,0,0,31,111,30
64,1,4,1,5,5,5,6,3,4,0,0,2,5,0,0,3,0,0,0,39,124,7
266,1,4,1,0,5,5,6,3,0,0,0,0,0,0,0,3,0,3,0,26,103,44
65,1,4,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,9,75,89
66,1,4,1,0,0,0,6,0,0,0,3,2,5,0,0,3,0,3,0,20,93,59
67,1,4,0,0,2,0,6,0,0,0,0,0,0,2,2,3,0,0,0,15,85,71
267,1,4,1,5,5,5,6,0,4,0,0,0,0,2,2,3,0,0,0,33,114,28
76,1,4,1,5,5,5,6,0,4,0,0,2,5,0,0,3,0,0,0,36,119,16
84,1,4,1,5,0,0,6,0,4,0,0,2,0,0,0,3,0,0,0,21,95,57
85,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,9,75,89
278,1,4,1,5,2,0,6,3,0,0,0,0,0,2,2,3,0,0,0,24,100,50
90,1,4,1,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,76,87
93,1,4,0,0,0,0,6,0,0,0,0,2,0,0,0,3,0,0,0,11,78,86
94,1,4,1,5,5,5,6,3,4,0,0,2,5,0,0,3,0,0,0,39,124,7
96,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,70,92
279,1,4,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,8,73,91
97,1,4,0,0,0,0,6,3,0,0,0,0,0,2,2,3,0,0,0,16,86,68
280,1,4,1,5,5,5,6,0,4,0,0,0,0,0,0,3,0,0,0,29,108,34
101,1,4,1,5,2,0,6,3,4,0,0,2,5,2,2,3,0,3,0,38,123,9
102,1,4,1,5,5,0,6,0,0,0,0,2,5,0,0,3,0,0,0,27,104,41
103,1,4,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,12,80,82
263,1,4,1,5,5,0,6,3,4,0,0,2,5,2,2,3,0,0,0,38,123,9
114,1,4,1,5,5,5,6,3,4,2,0,2,5,2,2,3,0,0,0,45,134,3
120,1,4,0,0,0,0,6,3,4,2,5,0,0,0,0,0,0,0,0,15,85,71
261,1,4,0,0,0,0,6,0,0,0,0,2,0,2,2,3,0,0,0,15,85,71
123,1,4,0,0,0,0,6,0,0,0,0,2,5,2,2,3,3,0,0,23,98,54
262,1,4,0,0,0,0,6,0,0,0,0,2,5,2,2,3,0,0,0,20,93,59
127,1,4,1,5,5,0,0,0,0,0,0,2,5,2,2,3,0,0,0,25,101,48
129,1,4,0,0,0,0,6,3,0,2,0,2,0,2,2,3,0,0,0,20,93,59
130,1,4,1,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,88,65
297,1,4,1,5,5,5,6,3,4,2,2,0,0,0,0,0,0,0,0,33,114,28
134,1,4,1,5,2,0,6,0,0,0,0,0,0,2,2,0,3,0,0,21,95,57
135,1,4,1,5,2,5,6,3,4,0,0,2,0,2,2,3,0,0,0,35,118,21
137,1,4,1,5,5,0,6,3,4,0,5,0,2,2,3,0,0,0,0,36,119,16
138,1,4,1,5,5,0,6,0,0,0,0,2,0,2,2,3,3,0,0,29,108,34
145,1,4,1,5,2,0,6,3,0,0,0,0,2,2,3,3,0,0,0,27,104,41
281,1,4,0,0,0,0,6,3,4,2,0,2,0,0,0,0,0,0,0,17,88,65
282,1,4,0,0,0,0,6,0,0,0,0,0,0,2,2,3,0,0,0,13,81,79
162,1,4,0,0,0,0,6,0,0,2,0,0,2,0,2,0,0,0,0,12,80,82
163,1,4,1,5,2,0,6,0,4,0,0,0,0,0,0,0,0,0,0,18,90,64
